location,goods,price,price_factors,supply_volume,quality_grade,record_date
Oluyole Estate,Lettuce,407.07,Government Policies,Moderate,Grade A (Fresh),2023-04-03
Badagry,Lettuce,316.83,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-01-23
Epe,Potatoes,364.55,Transportation Cost,Moderate,Grade A (Fresh),2023-03-04
Magodo,Tomatoes,1188.93,Fuel Price Hike,Moderate,Grade A (Fresh),2023-03-04
Ijegun,Sweet Potatoes,415.95,Demand Surge,High,Grade B (Average),2024-03-31
Orita-Challenge,Okra,836.03,Seasonal Availability,Moderate,Grade A (Fresh),2023-12-11
Ijegun,Pineapple,1070.66,Market Competition,Low,Grade A (Fresh),2023-04-06
Apata,Chicken (Live),15517.75,Fuel Price Hike,Moderate,Grade B (Average),2023-11-04
Festac Town,Fish (Fresh),1586.67,Fuel Price Hike,Low,Grade A (Fresh),2023-07-10
Agodi GRA,Watermelon,710.91,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-04-23
Ologuneru,Fish (Fresh),2387.63,Storage Limitations,Low,Grade B (Average),2023-09-26
Akobo,Beans,1705.66,Demand Surge,High,Grade A (Fresh),2023-12-26
Ojoo,Rice,1039.15,Seasonal Availability,Low,Grade A (Fresh),2023-04-09
Mokola,Pineapple,811.9,Storage Limitations,High,Grade B (Average),2024-02-15
Bashorun,Cucumber,408.65,Weather Conditions,Moderate,Grade B (Average),2023-07-13
Agege,Watermelon,1432.01,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-02-10
Amuwo Odofin,Chicken (Live),9508.45,Pest/Disease Outbreak,High,Grade B (Average),2023-01-30
Ojoo,Cabbage,631.87,Pest/Disease Outbreak,High,Grade A (Fresh),2023-03-06
Badagry,Spinach,333.01,Weather Conditions,Moderate,Grade A (Fresh),2023-11-15
Ojoo,Pineapple,1021.71,Seasonal Availability,Moderate,Grade A (Fresh),2023-07-05
Ijegun,Pepper,803.35,Fuel Price Hike,High,Grade C (Below Average),2023-09-17
Gbagada,Mangoes,130.99,Weather Conditions,Moderate,Grade B (Average),2024-03-27
Orita-Challenge,Pepper,1189.35,Fuel Price Hike,Low,Grade A (Fresh),2023-06-04
Jericho,Chicken (Live),8209.88,Seasonal Availability,Moderate,Grade B (Average),2024-01-30
Oluyole Estate,Spinach,492.26,Fuel Price Hike,High,Grade B (Average),2023-09-21
Jericho,Carrots,424.76,Storage Limitations,Moderate,Grade A (Fresh),2023-04-05
Ketu,Mangoes,140.1,Transportation Cost,High,Grade B (Average),2023-04-14
Lekki,Watermelon,1739.95,Demand Surge,Scarce,Grade A (Fresh),2023-08-22
Surulere,Cucumber,271.49,Fuel Price Hike,Moderate,Grade C (Below Average),2023-08-07
Anthony Village,Sweet Potatoes,1173.73,Demand Surge,High,Grade A (Fresh),2023-12-01
Egbeda,Yam,580.84,Storage Limitations,Moderate,Grade A (Fresh),2023-04-14
Ijegun,Tomatoes,452.97,Market Competition,Moderate,Grade A (Fresh),2023-10-04
Lekki,Okra,333.52,Weather Conditions,Low,Grade A (Fresh),2023-08-06
Ojoo,Banana,135.6,Seasonal Availability,Low,Grade C (Below Average),2023-03-08
Oke Ado,Potatoes,558.82,Pest/Disease Outbreak,High,Grade A (Fresh),2023-01-10
Orita-Challenge,Plantain,968.48,Demand Surge,Low,Grade A (Fresh),2023-01-23
Ketu,Potatoes,422.99,Weather Conditions,Low,Grade B (Average),2024-02-09
Victoria Island (VI),Plantain,437.63,Market Competition,Moderate,Grade B (Average),2023-06-13
Oke Ado,Tomatoes,975.73,Transportation Cost,Low,Grade A (Fresh),2024-02-11
Ketu,Pepper,1218.1,Fuel Price Hike,Moderate,Grade A (Fresh),2023-12-17
Bashorun,Garlic,3366.94,Weather Conditions,Moderate,Grade B (Average),2024-02-08
Ojoo,Tomatoes,1451.18,Fuel Price Hike,Low,Grade A (Fresh),2024-03-14
Jericho,Potatoes,1153.33,Demand Surge,High,Grade A (Fresh),2023-10-12
Gbagada,Chicken (Live),3505.27,Storage Limitations,Moderate,Grade B (Average),2024-03-26
Agege,Plantain,959.51,Weather Conditions,Moderate,Grade C (Below Average),2023-02-13
